# Class blue green red nir swir_1 swir_2 NDVI LAI MNDWI slope
0.000000 114.111115 136.333328 117.444443 146.666672 263.666656 179.333328 0.108560 -0.091581 -0.309539 5.802238
0.000000 341.222229 522.111084 278.444458 120.222221 224.111115 165.888885 -0.397289 -0.273020 0.399303 6.118021
0.000000 37.888889 84.888885 51.444443 67.333336 235.333328 170.111115 0.108307 -0.103777 -0.471094 3.384301
0.000000 161.000000 195.333328 174.222229 175.555557 272.222229 193.333328 0.004103 -0.116798 -0.165586 4.266683
0.000000 166.555557 220.111115 159.333328 105.666664 198.444443 146.111115 -0.202541 -0.167468 0.051736 3.931779
0.000000 204.111115 217.222229 219.111115 131.666672 175.888885 146.777771 -0.251306 -0.197765 0.104740 12.727063
0.000000 920.000000 1384.111084 1739.555542 3086.777832 3634.000000 2678.777832 0.279149 0.615038 -0.448333 3.309365
0.000000 394.000000 653.111084 576.222229 231.111115 288.333344 211.333328 -0.427758 -0.408840 0.392763 11.570820
0.000000 286.000000 572.333313 398.888885 275.333344 295.666656 224.777771 -0.183504 -0.224170 0.320333 3.057611
0.000000 410.111115 835.888916 641.444458 3927.888916 2291.888916 1319.333374 0.719077 1.903813 -0.465535 2.762088
0.000000 111.555557 159.444443 109.111115 126.000000 328.333344 229.777771 0.069524 -0.102656 -0.338837 3.707008
0.000000 90.222221 81.666664 74.888885 78.333336 170.666672 133.111115 0.021136 -0.114845 -0.349382 10.642684
0.000000 409.444458 701.222229 788.111084 2887.111084 2601.555664 1660.777832 0.571043 1.187737 -0.575391 19.086697
0.000000 73.888885 194.000000 101.444443 50.777779 119.666664 95.111115 -0.333354 -0.163351 0.237006 7.804346
0.000000 260.444458 554.333313 262.222229 159.222229 308.111115 241.666672 -0.244537 -0.213267 0.287235 6.756028
0.000000 225.555557 489.111115 423.111115 555.666687 761.444458 526.333313 0.117751 -0.014521 -0.196176 14.178062
