# Class blue green red nir swir_1 swir_2 NDVI LAI MNDWI slope
0.000000 353.444458 478.666656 457.666656 233.777771 111.000000 88.000000 -0.323358 -6.298986 0.624168 0.000000
0.000000 432.000000 614.000000 633.000000 224.000000 74.000000 66.000000 -0.477246 -4.842655 0.784884 0.000000
0.000000 297.666656 550.333313 502.000000 557.333313 464.000000 371.333344 0.026093 0.036061 0.180082 2.621251
0.000000 902.888916 1505.888916 1412.555542 453.333344 218.111115 163.333328 -0.514240 -4.144331 0.747294 10.431656
0.000000 375.222229 493.333344 440.000000 304.666656 203.111115 135.222229 -0.184834 25.980336 0.422345 9.664070
0.000000 367.666656 513.000000 535.666687 2786.000000 1891.000000 1083.000000 0.677523 6.159934 -0.573251 2.498119
0.000000 339.000000 457.000000 446.000000 1203.000000 645.000000 370.000000 0.459066 5.001301 -0.170599 2.429563
0.000000 291.000000 346.666656 214.333328 327.000000 231.000000 178.333328 0.208060 -1.943563 0.200078 5.979003
0.000000 616.000000 939.000000 687.000000 423.000000 251.000000 147.000000 -0.237838 32.150649 0.578151 2.429563
0.000000 293.666656 393.666656 433.111115 684.111084 590.888916 447.888885 0.222924 0.403941 -0.060841 4.139465
0.000000 275.777771 416.777771 255.555557 235.555557 163.333328 114.888885 -0.040734 0.521128 0.437784 16.690422
0.000000 202.222229 241.222229 181.555557 151.666672 99.111115 79.333336 -0.089611 0.865901 0.417825 3.933130
0.000000 431.333344 691.333313 855.666687 2500.333252 2316.000000 1404.666626 0.490202 3.266902 -0.540302 4.484770
0.000000 350.111115 454.333344 503.666656 2818.333252 1742.222168 919.333313 0.695975 6.393640 -0.586088 5.018358
0.000000 274.000000 303.000000 223.000000 242.000000 166.000000 127.000000 0.040860 -0.480563 0.292111 24.159479
0.000000 232.000000 290.000000 230.000000 237.000000 202.000000 164.000000 0.014989 -0.636975 0.178862 6.263874
0.000000 454.111115 787.222229 808.000000 889.777771 759.333313 595.666687 0.037924 0.124183 0.077916 5.558915
0.000000 690.333313 1112.222168 1457.777832 2485.555664 3066.666748 2344.333252 0.260734 1.419840 -0.467806 3.253764
0.000000 213.000000 280.000000 240.000000 289.000000 222.000000 164.000000 0.092628 3.226943 0.115538 6.263874
0.000000 323.444458 529.333313 458.555542 233.888885 93.222221 80.333336 -0.323625 -3.856180 0.700389 0.000000
0.000000 295.666656 359.000000 378.333344 848.000000 523.666687 337.333344 0.367355 7.759994 -0.144791 6.278424
0.000000 373.666656 504.333344 397.333344 392.666656 335.333344 252.333328 -0.008529 0.074377 0.221628 8.743748
0.000000 444.111115 688.000000 670.555542 252.222229 113.666664 100.666664 -0.456389 -4.124085 0.720635 0.000000
0.000000 297.333344 392.666656 430.000000 191.333328 70.000000 44.666668 -0.384254 -4.149423 0.697317 0.000000
0.000000 467.333344 795.333313 444.666656 252.666672 166.000000 122.000000 -0.275421 2.859481 0.654615 7.346246
0.000000 486.444458 773.777771 760.777771 1218.000000 960.111084 678.666687 0.210281 1.657890 -0.035473 5.284751
0.000000 257.555542 306.111115 289.666656 583.000000 326.111115 218.333328 0.333047 8.364182 -0.019791 5.866996
0.000000 203.777771 260.000000 189.777771 246.000000 144.555557 106.666664 0.128674 -0.140141 0.285128 4.786890
0.000000 203.666672 314.888885 250.555557 279.000000 191.000000 136.222229 0.053619 0.883185 0.244867 10.774227
0.000000 696.666687 1077.000000 1462.333374 2663.666748 3216.666748 2278.000000 0.290954 1.648285 -0.498361 8.612604
